Interval = 1 sec,,,,,,,,,,,
SEQ,TEMPERATURE(0.01 degreeC),HUMIDITY(0.01), AMBIENT LIGHT, BAROMETRIC PRESSURE, SOUND NOISE, eTVOC,eCO2, FLAGnotburn,FLAGburn, FLAGnotburn,FLAGburn
151,2844,5639,104,998608,8313,168,1494,0,1,0,1
152,2841,5637,106,998604,8410,168,1494,0,1,0,1
153,2843,5625,106,998609,8119,168,1494,0,1,0,1
154,2842,5619,106,998608,8060,168,1494,0,1,0,1
155,2840,5619,106,998613,8087,171,1499,0,1,0,1
156,2842,5608,106,998614,8049,171,1499,0,1,0,1
157,2844,5598,106,998611,8191,171,1499,0,1,0,1
158,2849,5584,106,998612,8022,171,1499,0,1,0,1
159,2851,5573,106,998614,8030,171,1499,0,1,0,1
160,2852,5570,106,998614,8185,171,1499,0,1,0,1
161,2854,5565,108,998611,8205,173,1502,0,1,0,1
162,2854,5567,108,998608,8163,177,1507,0,1,0,1
163,2855,5566,108,998606,8283,177,1507,0,1,0,1
164,2858,5559,108,998608,8201,177,1507,0,1,0,1
165,2858,5562,108,998606,8116,177,1507,0,1,0,1
166,2862,5549,108,998601,7978,177,1507,0,1,0,1
167,2866,5537,110,998607,8104,177,1507,0,1,0,1
168,2866,5530,110,998606,8105,177,1507,0,1,0,1
169,2868,5513,110,998606,8218,177,1507,0,1,0,1
170,2867,5509,113,998606,8023,177,1507,0,1,0,1
171,2867,5503,113,998605,8081,179,1512,0,1,0,1
172,2869,5497,110,998605,8031,176,1506,0,1,0,1
173,2870,5494,106,998602,8110,176,1506,0,1,0,1
174,2870,5489,99,998602,8054,176,1506,0,1,0,1
175,2871,5482,106,998603,8079,176,1506,0,1,0,1
176,2870,5480,106,998603,8095,176,1506,0,1,0,1
177,2869,5481,101,998604,8140,176,1506,0,1,0,1
178,2869,5481,106,998604,8099,176,1506,0,1,0,1
179,2866,5488,104,998604,8057,176,1506,0,1,0,1
180,2864,5494,110,998600,8015,172,1500,0,1,0,1
181,2864,5495,104,998595,8167,176,1506,0,1,0,1
182,2863,5498,108,998594,8130,176,1506,0,1,0,1
183,2864,5499,108,998593,8092,176,1506,0,1,0,1
184,2867,5494,110,998592,8102,176,1506,0,1,0,1
185,2867,5495,108,998591,8106,176,1506,0,1,0,1
186,2867,5495,108,998593,8089,176,1506,0,1,0,1
187,2867,5493,108,998590,8067,176,1506,0,1,0,1
188,2867,5492,108,998592,8052,176,1506,0,1,0,1
189,2869,5487,106,998587,8118,176,1506,0,1,0,1
190,2870,5486,106,998586,8048,176,1506,0,1,0,1
191,2870,5485,101,998584,8082,176,1506,0,1,0,1
192,2870,5485,106,998582,8045,176,1506,0,1,0,1
193,2871,5479,101,998581,8169,176,1506,0,1,0,1
194,2874,5470,97,998585,8119,176,1506,0,1,0,1
195,2875,5468,106,998581,8151,178,1511,0,1,0,1
196,2875,5465,104,998585,8201,178,1511,0,1,0,1
197,2875,5462,99,998587,8231,161,1458,0,1,0,1
198,2873,5462,101,998586,8154,161,1458,0,1,0,1
199,2876,5450,104,998586,8151,161,1458,0,1,0,1
200,2879,5440,104,998586,8400,178,1511,0,1,0,1
201,2880,5438,104,998590,8094,161,1458,0,1,0,1
202,2881,5441,104,998594,8324,161,1458,0,1,0,1
203,2881,5458,83,998594,8212,161,1458,0,1,0,1
204,2881,5489,79,998592,8314,154,1413,0,1,0,1
205,2884,5531,79,998591,8107,154,1413,0,1,0,1
206,2886,5589,76,998589,8103,148,1372,0,1,0,1
207,2884,5657,72,998593,8157,142,1334,0,1,0,1
208,2886,5710,72,998591,8037,138,1307,0,1,0,1
209,2886,5747,70,998588,8154,135,1288,0,1,0,1
210,2886,5756,74,998588,8056,128,1242,0,1,0,1
211,2889,5737,76,998588,8208,128,1242,0,1,0,1
212,2887,5720,74,998587,8149,131,1262,0,1,0,1
213,2888,5701,74,998588,8116,128,1242,0,1,0,1
214,2890,5683,74,998587,8022,133,1277,0,1,0,1
215,2889,5676,70,998589,7966,135,1291,0,1,0,1
216,2893,5665,72,998584,8079,133,1277,0,1,0,1
217,2893,5660,72,998585,8244,135,1288,0,1,0,1
218,2894,5658,74,998589,8101,137,1302,0,1,0,1
219,2896,5654,74,998592,8002,135,1288,0,1,0,1
220,2895,5653,74,998594,8061,135,1288,0,1,0,1
221,2895,5650,74,998589,8272,135,1288,0,1,0,1
222,2895,5640,76,998584,8466,135,1288,0,1,0,1
223,2894,5630,76,998583,8047,137,1302,1,0,1,0
224,2893,5623,76,998582,8123,135,1288,1,0,1,0
225,2894,5611,74,998582,8081,137,1302,1,0,1,0
226,2893,5608,72,998580,8044,140,1321,1,0,1,0
227,2894,5596,74,998577,8116,147,1367,1,0,1,0
228,2897,5579,74,998578,7965,147,1367,1,0,1,0
229,2897,5566,74,998578,8003,140,1321,1,0,1,0
230,2900,5548,72,998575,8015,142,1334,1,0,1,0
231,2903,5532,74,998575,8049,145,1356,1,0,1,0
232,2904,5522,74,998576,8028,149,1380,1,0,1,0
233,2905,5512,74,998579,8059,145,1356,1,0,1,0
